F/H,sector,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat,price
1,8.0,1505,2,2,2,0.0,0,0.0,0.0,0.7
1,99.0,2132,3,3,2,0.0,1,1.0,1.0,2.4
0,88.0,5500,4,4,3,0.0,0,4.0,1.0,4.02
1,62.0,2016,3,3,3,3.0,2,1.0,1.0,2.1
1,104.0,1645,3,4,3,3.0,1,1.0,1.0,1.1
1,61.0,2464,3,3,3,3.0,1,1.0,1.0,5.15
1,6.0,1130,3,4,3,0.0,0,2.0,1.0,1.25
1,108.0,1423,3,3,2,2.0,0,0.0,0.0,1.2
1,84.0,1080,2,2,2,2.0,0,0.0,0.0,0.93
1,68.0,3000,4,6,3,3.0,2,3.0,1.0,7.0
1,83.0,1350,2,2,2,0.0,2,1.0,0.0,1.5
1,39.0,650,2,2,1,1.0,2,0.0,0.0,0.5
1,48.0,1990,3,3,3,0.0,0,2.0,0.0,1.43
0,39.0,1137,3,2,2,1.0,0,1.0,0.0,1.0
1,103.0,1450,3,3,3,0.0,0,0.0,1.0,0.9
0,52.0,675,5,3,1,3.0,0,0.0,0.0,0.8
1,7.0,1366,2,2,3,0.0,2,0.0,1.0,0.8
0,9.0,5400,4,5,3,0.0,0,1.0,0.0,6.8
1,80.0,1450,3,3,3,0.0,2,2.0,1.0,2.35
1,31.0,850,2,2,1,3.0,2,0.0,0.0,0.64
1,118.0,450,2,1,0,0.0,0,0.0,0.0,0.3
0,57.0,5490,5,6,3,3.0,0,4.0,1.0,15.5
0,62.0,1467,6,6,3,3.0,0,1.0,0.0,3.75
1,113.0,1370,3,2,3,0.0,0,0.0,0.0,0.65
1,105.0,1930,3,3,3,0.0,2,2.0,0.0,1.3
1,70.0,2400,4,4,3,0.0,2,1.0,0.0,2.0
1,99.0,1094,2,2,3,0.0,0,0.0,1.0,0.87
1,2.0,1650,3,3,3,0.0,0,1.0,1.0,1.42
1,104.0,1635,2,2,3,0.0,0,1.0,1.0,1.09
1,0.0,2588,3,3,3,3.0,0,1.0,0.0,0.9
1,42.0,1471,2,2,3,4.0,0,0.0,1.0,1.5
0,9.0,6228,4,4,3,2.0,0,2.0,1.0,6.75
1,96.0,1490,3,3,3,0.0,2,0.0,0.0,1.2
0,67.0,2250,5,5,2,0.0,0,1.0,0.0,4.0
1,37.0,1650,3,3,2,1.0,0,1.0,1.0,2.26
0,43.0,1150,2,2,1,2.0,0,0.0,0.0,0.49
0,37.0,2844,4,5,3,0.0,2,3.0,1.0,12.0
0,74.0,1100,2,2,0,1.0,0,0.0,0.0,0.85
1,87.0,1950,3,5,3,0.0,0,1.0,0.0,1.62
0,62.0,1800,3,3,3,3.0,2,1.0,1.0,2.95
1,72.0,1775,3,4,2,0.0,2,2.0,1.0,3.83
1,84.0,1950,3,3,3,0.0,2,0.0,1.0,1.8
