F/H,sector,price,total_area(sqft),bedRoom,bathroom,balcony,agePossession,furnishing_type,additional_room_count,luxury_cat
1,79,1.25,1620,3,3,2,New,2,2.0,Mid 
1,81,2.2,1966,3,4,3,New,1,1.0,Mid 
1,29,1.85,1560,3,2,3,Relatively Old,0,2.0,Mid 
1,85,1.05,990,2,2,1,Under Construction,0,0.0,Low
1,37C,1.44,1986,3,3,3,Relatively New,0,1.0,Low
1,88A,1.3,1791,3,3,3,New,0,0.0,Mid 
0,9,0.6,558,3,3,1,New,0,0.0,Low
0,45,17.0,4500,5,8,3,New,1,4.0,Mid 
1,89,1.25,1423,3,3,2,Relatively New,0,1.0,Low
0,109,11.25,4500,7,5,3,New,0,3.0,Low
0,43,8.5,2700,5,5,3,Relatively Old,2,1.0,Mid 
1,7,0.48,800,3,2,1,Relatively New,0,0.0,Low
1,69,1.55,1608,3,3,2,New,2,1.0,Mid 
1,83,1.3,1095,3,3,3,New,2,1.0,Mid 
0,48,5.0,2340,7,7,3,Relatively Old,2,0.0,Low
1,88A,1.19,1171,2,2,3,New,2,2.0,Mid 
1,60,2.5,1550,2,3,2,New,0,1.0,Mid 
0,86,2.47,3200,4,4,3,Relatively Old,2,2.0,Mid 
1,105,0.45,950,3,2,1,New,2,0.0,Low
1,60,2.65,2019,3,4,3,Relatively Old,2,1.0,Mid 
1,31,1.25,1080,2,2,2,Old,0,0.0,Low
1,68,1.05,1230,2,2,2,Relatively New,2,0.0,Mid 
1,85,1.98,2398,3,4,3,New,0,1.0,Mid 
0,43,6.25,2034,7,7,3,Relatively Old,0,3.0,Low
1,89,1.25,1423,3,3,3,Under Construction,0,1.0,Low
1,104,0.26,333,1,1,2,New,0,0.0,Mid 
0,14,6.4,3150,6,6,3,Old,0,1.0,Low
0,38,3.9,1836,6,6,3,Relatively Old,0,3.0,Low
1,79,1.34,1572,2,2,3,New,0,1.0,Mid 
1,63A,0.42,567,3,2,2,Under Construction,0,0.0,Low
1,86,0.78,1360,2,2,1,Relatively New,0,0.0,Mid 
1,92,1.07,2040,4,3,3,Under Construction,0,2.0,Mid 
1,111,0.5,337,1,1,1,New,1,0.0,Mid 
1,83,1.8,1900,3,3,3,New,0,0.0,Mid 
1,69,1.92,1250,4,4,2,New,0,0.0,Mid 
1,92,0.58,1415,3,3,3,Relatively New,0,0.0,Mid 
1,104,2.78,3150,4,4,3,New,0,1.0,Mid 
1,35,0.75,1081,2,2,0,New,0,0.0,Mid 
1,92,0.75,1556,3,2,2,New,0,0.0,Low
1,81,0.45,598,2,2,2,New,2,1.0,Low
1,92,0.85,1572,3,3,0,New,0,0.0,Mid 
1,81,0.64,1216,2,2,3,New,2,0.0,Mid 
1,43,1.35,1345,3,3,3,Old,2,1.0,Mid 
0,3,1.0,1500,1,1,0,Relatively Old,0,0.0,Low
